synthetic_code_id,parent_theoretical_id,parent_theoretical_name,synthetic_code_name,interpretive_definition,inclusion_criteria,exclusion_criteria,interpretive_rationale,boundary,synthetic_kind,review_status,focused_code_count
S01,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Warunkowanie ochrony statusem zatrudnienia,"Ochrona socjalna, zdrowotna i proceduralna jest dostępna w zakresie wyznaczonym przez formalny status pracy oraz realną egzekwowalność uprawnień. Braki ochrony przenoszą koszty zabezpieczenia na pracownika.","Włączaj, gdy fragment odnosi umowę, status pracownika, świadczenie lub decyzję instytucji do faktycznego dostępu do ubezpieczenia, urlopu, ochrony zdrowia, dochodu albo innych praw.",Nie włączaj samej czasowości zatrudnienia bez skutku dla ochrony ani indywidualnego ważenia dochodu i składek bez opisu instytucjonalnego zakresu uprawnień.,"Przypisane F pokazują, że bezpieczeństwo nie wynika automatycznie z pracy lub obywatelstwa, lecz jest selektywnie przyznawane przez ramy zatrudnienia i instytucjonalne uznanie.","W odróżnieniu od C02 rdzeniem nie jest niepewność dalszej pracy, lecz zakres ochrony dostępnej podczas pracy lub poza nią.",cluster,candidate,5
S02,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Uzależnianie ciągłości pracy od decyzji organizacji,"Dalsze zatrudnienie pozostaje zależne od kontraktu, bieżącego popytu oraz nieprzejrzystej lub arbitralnej decyzji organizatora pracy. Ryzyko braku kontynuacji zostaje w ten sposób przeniesione na pracownika.","Włączaj, gdy kolejna praca, zmiana, zlecenie lub umowa zależą od przedłużenia, wezwania, potwierdzenia albo jednostronnej decyzji pracodawcy.",Nie włączaj dłuższej biograficznej sekwencji zmian pracy bez wskazania bieżącego mechanizmu warunkowania ani ochrony socjalnej wynikającej z formy zatrudnienia.,"Wspólnym mechanizmem jest organizowanie zatrudnienia jako odwoływalnego dostępu, którego pracownik nie może samodzielnie stabilizować.",W odróżnieniu od C03 kod obejmuje bezpośredni mechanizm organizacyjnego uzależnienia dalszej pracy; C03 dotyczy biograficznego przechodzenia przez jego skutki.,cluster,candidate,5
S03,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Składanie ciągłości z niestabilnych odcinków,"Kariera i utrzymanie są budowane przez łączenie przejściowych prac, przerw, projektów i zewnętrznie przerwanych możliwości zatrudnienia. Ciągłość jest tu efektem składania kolejnych odcinków, a nie trwałości pojedynczej relacji pracy.","Włączaj, gdy fragment przedstawia co najmniej dwa odcinki, przejścia lub równoległe formy pracy i ujawnia ich znaczenie dla odzyskiwania, utraty lub czasowego buforowania dochodu.","Nie włączaj pojedynczej nieprzedłużonej umowy, oczekiwania na decyzję pracodawcy ani samego opisu formalnej ochrony.","F łączą perspektywę biograficzną: pracownik organizuje życie zawodowe poprzez kolejne, różnie trwałe źródła pracy i dochodu.","W odróżnieniu od C02 nie chodzi o pojedynczy mechanizm warunkowania zatrudnienia, lecz o sekwencję i kompozycję kolejnych stanów zawodowych.",cluster,candidate,4
S04,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Przerzucanie kosztów organizacji czasu i pracy,"Niedobory, normy i sposób układania czasu pracy są kompensowane wysiłkiem pracowników oraz kosztami ponoszonymi w życiu poza pracą. Odpowiedzią staje się regeneracja albo próba obrony granic czasu.","Włączaj, gdy organizacja zadań, personelu, grafiku lub czasu powoduje dodatkowy wysiłek, przeciążenie, ograniczenie odpoczynku albo konieczność ochrony czasu pozazawodowego.","Nie włączaj samej izolacji społecznej, konfliktów ze współpracownikami ani trudności finansowych niewynikających z organizacji pracy i czasu.","Przypisane F są przypadkami przeniesienia kosztów wadliwej lub intensywnej organizacji na ciało, czas i prywatne życie pracownika.","W odróżnieniu od C05 rdzeniem nie jest jakość relacji między pracownikami, ale organizacyjny rozkład zadań, obciążeń i czasu.",cluster,candidate,6
S05,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Kształtowanie wsparcia przez organizację relacji,"Układ relacji w miejscu pracy — mały zespół, nierówna współpraca albo samotne stanowisko — decyduje o dostępie do pomocy, możliwości wspólnego działania i codziennym doświadczeniu pracy.","Włączaj, gdy skala zespołu, współpraca, konflikty między współpracownikami albo fizyczna izolacja wpływają na wykonywanie pracy, dostęp do wsparcia lub autonomię.","Nie włączaj relacyjnego poniżania przez przełożonego, kontroli hierarchicznej ani samego zbiorowego dochodzenia roszczeń wobec instytucji.","F łączy to, że organizacja relacji poziomych może zarazem tworzyć zasoby wsparcia i ograniczać sprawczość pracownika.","W odróżnieniu od C06 chodzi o relacje współpracowników i społeczną organizację pracy, a nie pionową władzę przełożonych.",cluster,candidate,3
S06,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Doświadczanie podporządkowania i hierarchicznego uznania,"Hierarchia organizacyjna kształtuje możliwość bycia wysłuchanym, uznanym i bezpiecznym w pracy, a także ocenę legitymizacji zarządzania. Władza przełożonych staje się źródłem kontroli, deprecjacji i nierównego dostępu.","Włączaj, gdy przełożony, kierownictwo, pozycja w hierarchii lub sieć dostępu ograniczają głos, uznanie, zachowanie, awans albo dostęp do pracy.","Nie włączaj konfliktów poziomych w zespole, proceduralnego filtrowania rekrutacji bez relacji hierarchicznej ani ogólnego niezadowolenia z warunków pracy.",Wspólną logiką jest nierówna zdolność wpływania na decyzje i definiowanie wartości zawodowej przez aktorów o wyższej pozycji.,"W odróżnieniu od C07 nie chodzi o selekcję kandydatów w procedurze dostępu, lecz o władzę i uznanie w relacji organizacyjnej.",cluster,candidate,5
S07,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Filtrowanie dostępu przez kryteria uznania,"Dostęp do pracy jest selekcjonowany poprzez proceduralne, biograficzne i symboliczne kryteria oceny kandydatów. Osoby muszą jednocześnie poddawać się ocenie i kalibrować własną wartość wobec jej reguł.","Włączaj, gdy rekrutacja, egzamin, przesłuchanie lub selekcja wiążą dostęp do pracy z kwalifikacjami, cechami przypisanymi, autoprezentacją albo pozorną skutecznością procedury.","Nie włączaj ograniczania głosu już zatrudnionego pracownika, organizacyjnej niepewności dalszej pracy ani indywidualnej krytyki warunków zatrudnienia po uzyskaniu dostępu.","F pokazują, że selekcja nie jest neutralnym rozpoznaniem kompetencji: definiuje, jakie cechy, biografie i sposoby prezentacji stają się zawodowo uznawalne.","W odróżnieniu od C06 centrum analizy stanowi próg wejścia i procedura selekcji, a nie podporządkowanie w istniejącej relacji pracy.",cluster,candidate,5
S08,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Równoważenie dochodu z zabezpieczeniem,"Pracownik utrzymuje zatrudnienie lub wybiera jego formę pod presją bieżącego dochodu, równocześnie ponosząc koszt ograniczonego zabezpieczenia. Wybór ma charakter zawężonej negocjacji, nie swobodnej preferencji.","Włączaj, gdy dług, konieczność zarobku, zależność relacyjna albo kalkulacja składek i ubezpieczenia ograniczają możliwość odejścia, odmowy lub wyboru bardziej bezpiecznej pracy.","Nie włączaj instytucjonalnie dostępnych uprawnień jako takich, czasowego buforu dochodowego bez procesu ważenia ani arbitralnego obniżenia wypłaty przez pracodawcę.",Oba F przedstawiają ekonomiczne przymusy jako mechanizm stabilizujący pozostawanie w potencjalnie niedopasowanym lub słabiej zabezpieczonym zatrudnieniu.,"W odróżnieniu od C01 chodzi o subiektywne i praktyczne ważenie dochodu wobec ochrony, a nie o sam formalny zakres ochrony.",cluster,candidate,2
S09,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Normatywne kwestionowanie relacji zatrudnienia,"Warunki pracy i zarządzanie są oceniane przez standard uczciwości, godności, odpowiedzialności i wzajemności. Krytyka nie dotyczy wyłącznie dyskomfortu, lecz naruszenia oczekiwanego moralnego porządku relacji pracy.","Włączaj, gdy osoba ocenia praktykę zatrudnienia lub relację pracodawca–pracownik jako nieuczciwą, naruszającą godność, manipulacyjną albo wymagającą wzajemnej odpowiedzialności.","Nie włączaj samego skierowanego żądania zmiany warunków, trudności etycznej w kontakcie z klientem ani technicznej interwencji w dostęp proceduralny.","F łączy odwołanie do norm, według których praca powinna być uczciwą i uznającą relacją, a nie jednostronnym wykorzystaniem pracownika.","W odróżnieniu od C10 koduje normatywną diagnozę stosunku pracy, nie formę praktycznego działania lub wycofania.",cluster,candidate,2
S10,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Kontestowanie lub ograniczanie uczestnictwa,Wobec niesprawiedliwych albo napięciowych warunków pracownicy podejmują głos i roszczenie lub przeciwnie — ograniczają udział i odchodzą. Są to indywidualne sposoby odzyskiwania wpływu na relację pracy.,"Włączaj, gdy osoba kieruje żądanie, skargę, odmowę lub zakwestionowanie do podmiotu organizującego pracę albo ogranicza swoje uczestnictwo wyraźnie w odpowiedzi na napięcie zawodowe.","Nie włączaj samego rozpoznania problemu bez działania, zbiorowej reprezentacji interesów ani planowania odpoczynku bez sporu o warunki.","Oba F pokazują sprawstwo wobec ryzyka: przez konfrontację z warunkami albo przez wyjście z relacji, która stała się nie do utrzymania.",W odróżnieniu od C11 chodzi o reakcję indywidualną; C11 obejmuje wspólne organizowanie głosu i roszczeń.,cluster,candidate,2
S11,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Budowanie zbiorowego głosu,"Pracownicy przekształcają wspólnie rozpoznawane problemy w potencjalną reprezentację, koordynację lub zbiorowe roszczenie. Kluczowe jest przejście — albo jego brak — od prywatnego narzekania do wspólnego oddziaływania.","Włączaj, gdy co najmniej dwie osoby organizują wspólne działanie, reprezentację interesów, protest lub koordynację wobec reguł organizacyjnych, albo gdy problematyzowany jest brak takiego przejścia.","Nie włączaj indywidualnej skargi, zwykłej przyjacielskości zespołu ani konfliktu współpracowników bez wspólnego celu reprezentacyjnego.","F łączą pytanie o to, czy rozproszone doświadczenie ryzyka może zostać przekształcone w zbiorową zdolność nacisku.","W odróżnieniu od C10 podmiotem działania lub jego braku jest zbiorowość, a nie pojedynczy pracownik.",cluster,candidate,3
S12,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Regulowanie pracy wobec odbiorcy,"Kontakt z klientem, podopiecznym lub odbiorcą jest zarazem źródłem obciążenia emocjonalnego, oceny sensu pracy i granic etycznie akceptowalnego działania. Relacja z odbiorcą organizuje więc zarówno koszt pracy, jak i jej moralną ocenę.","Włączaj, gdy bezpośrednia praca z ludźmi wiąże się ze stresem, wyczerpaniem, zadaniowością, oceną jakości kontaktu albo sprzeciwem wobec manipulowania odbiorcą.","Nie włączaj deprecjonowania przez przełożonych, ogólnego zmęczenia tempem pracy ani normatywnej krytyki pracodawcy niezwiązanej z relacją z odbiorcą.","F są przypadkami regulowania siebie i wartości pracy w bezpośredniej relacji z osobami, wobec których wykonywane jest zadanie zawodowe.","W odróżnieniu od C09 normatywna ocena dotyczy przede wszystkim sposobu traktowania odbiorcy, a nie ogólnej relacji zatrudnienia.",cluster,candidate,3
S13,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Uznaniowe rozdzielanie należnej zapłaty,"Wynagrodzenie jest pomniejszane, dzielone lub przekazywane według organizacyjnych decyzji i uzasadnień, które odsuwają wykonawcę od pełnej kontroli nad należną zapłatą.","Włączaj, gdy konkretna kwota za wykonaną pracę zostaje zmieniona, podzielona lub przekazana inaczej niż oczekiwano przez decyzję organizacyjną.","Nie włączaj niskich zarobków, wyboru między dochodem a ubezpieczeniem ani ogólnego braku stabilności zatrudnienia.",Organizacyjna kontrola nad przepływem wynagrodzenia.,"Najbliżej C08, lecz tam rdzeniem jest pracownicza kalkulacja dochodu i bezpieczeństwa, tutaj zaś jednostronna alokacja już należnego wynagrodzenia.",standalone_candidate,needs_review,1
S14,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Negocjowanie zawodowej odrębności,Osoba buduje obraz własnej kariery przez odróżnianie się od bliskich oraz mierzenie się z relacyjnymi oczekiwaniami wobec własnej indywidualności.,"Włączaj, gdy porównanie z bliskimi lub presja relacyjna wpływa na rozumienie własnej tożsamości zawodowej i wyborów kariery.","Nie włączaj hierarchicznych ograniczeń dostępu, konfliktów zespołowych ani zwykłej różnicy biografii bez pracy nad własną odrębnością.",Tożsamościowe negocjowanie autonomii zawodowej.,"Najbliżej C03, ale nie dotyczy sekwencji zatrudnienia, lecz tożsamościowego interpretowania własnej drogi.",standalone_candidate,needs_review,1
S15,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Usuwanie proceduralnych przeszkód dostępu,"Aktor podejmuje bezpośrednią interwencję, aby skorygować błąd, uzgodnić organizację lub uzyskać dokument konieczny do praktycznego wykonywania pracy.","Włączaj, gdy działanie zmierza do usunięcia konkretnej przeszkody proceduralnej w dostępie, obecności lub realizacji pracy.","Nie włączaj roszczeń o uczciwość warunków, zbiorowej reprezentacji ani samej krytyki procedur naboru.",Praktyczne odzyskiwanie dostępu do pracy przez interwencję proceduralną.,"Najbliżej C10, lecz C10 obejmuje kontestowanie warunków jako niesprawiedliwych, a tu celem jest operacyjne przywrócenie dostępu.",standalone_candidate,needs_review,1
S16,T01,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,Wyznaczanie instytucjonalnych granic uczestnictwa,"Instytucja określa dopuszczalną widzialność, przynależność i ekspresję, pozostawiając pracownikom ograniczone pole negocjowania tych granic.","Włączaj, gdy formalna reguła lub decyzja zwierzchnia wyznacza, kto i w jaki sposób może uczestniczyć albo publicznie wyrażać stanowisko w ramach instytucji.",Nie włączaj zbiorowego organizowania protestu bez kontroli instytucjonalnej ani kontroli przełożonego odnoszącej się wyłącznie do wykonywania zadań.,Kontrola instytucjonalna nad granicami przynależności i ekspresji.,"Najbliżej C11, ale C11 dotyczy budowania zbiorowego głosu, podczas gdy ten kod analizuje uprzednie instytucjonalne ograniczenie jego dopuszczalności.",standalone_candidate,needs_review,1
S17,T02,kalibrowanie odwracalnej trajektorii zawodowej,Doświadczanie progów zasobowych,"Dostęp do edukacyjno-zawodowych ruchów jest ograniczany przez nierówny dostęp do pieniędzy, czasu, instytucjonalnych miejsc, sprzętu i formalnych warunków. Bariery te zawężają wykonalne opcje niezależnie od samej aspiracji.","Włączaj, gdy konkretny zasób, próg formalny lub reguła organizacyjna bezpośrednio blokuje, opóźnia albo ogranicza podjęcie nauki, szkolenia, praktyki lub wejście na określoną ścieżkę pracy.","Nie włączaj sytuacji, w których osoba przede wszystkim waży atrakcyjność różnych opcji mimo ich dostępności, ani ogólnego planowania finansów bez bezpośredniej bariery wykonania.","Przypisane F pokazują, że trajektoria nie jest wyłącznie rezultatem wyboru: jej możliwe przejścia są filtrowane przez zasoby oraz bramki instytucjonalne.","W odróżnieniu od C08 nie chodzi o budowanie przyszłej stabilizacji, lecz o bieżące przeszkody uniemożliwiające wykonanie konkretnego kroku.",cluster,candidate,4
