code_id,parent_code_id,code_name,code_level,code_type,definition,inclusion_criteria,exclusion_criteria,example_quote,text_unit_id,source_file,related_research_question,stage,created_by,review_status,prompt_id,notebook,cell_reference,audit_notes,version,theoretical_parent_id,synthetic_kind,fit,boundary,interpretive_rationale,secondary_affinity,ambiguity_note
T01,,instytucjonalne przenoszenie ryzyka pracy i jego kontestowanie,theoretical,theoretical_category,"Proces, w którym organizacje, pracodawcy i procedury publiczne ustanawiają warunkowy dostęp do pracy, dochodu, ochrony i uznania, a koszty niejasności, niedoborów organizacyjnych oraz decyzji hierarchicznych są przenoszone na pracownika. Odpowiedzią może być tolerowanie, samoregulacja, negocjacja, roszczenie lub wycofanie.","Włączać fragmenty, które łączą formalne reguły, umowy, procedury selekcji, alokację zasobów, nadzór albo organizację pracy z realnym dostępem do ochrony, czasu, dochodu, głosu lub dalszego zatrudnienia. Wymagany jest co najmniej jeden element relacji organizacyjnej oraz jej skutek dla działania lub położenia pracownika.","Nie włączać samego niezadowolenia z pracy bez wskazania relacji organizacyjnej, zwykłych konfliktów koleżeńskich bez asymetrii lub skutku dla pracy ani indywidualnych planów edukacyjnych i finansowych niezwiązanych z regułą instytucjonalną.","Ale jest nas sześć i jak są jakieś zastępstwa, albo trzeba na przykład połączyć grupę, czyli pracować za darmo za kogoś, no to wtedy jest moja grupa i grupy koleżanek, które są nowe.",PREWORK_02_U0102,PREWORK_02_trans.docx,"B1: doswiadczanie pracy i interpretowanie kariery; B2: podejmowanie indywidualnego i zbiorowego sprawstwa; B3: angazowanie sie obywatelskie i spoleczne; B4: mobilizowanie wiezi oraz zasobow ekonomicznych, spolecznych i kulturowych",04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Jeżeli ciągłość pracy, ochrona lub uznanie zależą od uznaniowej decyzji, niedrożnej procedury albo organizacyjnie niedoszacowanych zasobów, pracownik częściej ponosi koszt gotowości, samokontroli lub dodatkowej pracy; skuteczne zakwestionowanie tego układu wymaga przekształcenia rozpoznanego problemu w skierowane działanie wobec decydenta lub procedury. Warunki: Twierdzenie obowiązuje przy zależności od pracodawcy, przełożonego, instytucji alokującej zasoby, procedury rekrutacyjnej albo organizacji wyznaczającej czas i zadania. Nie zakłada, że każda umowa czasowa, procedura lub intensywna praca są opresyjne. Dzialania/interakcje: Pracodawcy i instytucje przedłużają, ograniczają lub rozdzielają dostęp do pracy, świadczeń, wynagrodzeń i uznania. Pracownicy oczekują na potwierdzenie, dostosowują zachowanie, kompensują braki, przygotowują się do selekcji, żądają wyjaśnienia, negocjują, odmawiają albo uruchamiają procedurę roszczeniową. Konsekwencje: Możliwe są: warunkowa ciągłość zatrudnienia, ograniczenie głosu i autonomii, przeciążenie, niepewność ochrony oraz zawieszenie dostępu. W wariantach kontestacyjnych mogą wystąpić korekta błędu, częściowa formalizacja, kompromis albo pogorszenie relacji z hierarchią. Warianty: Warianty obejmują kruchą ochronę mimo formalnego statusu, czasową ciągłość kontraktową, przerzucanie niedoborów kadrowych, nierówne uznanie, selekcję proceduralną oraz negocjowanie granic czasu. Przypadki negatywne to realnie gwarantowane świadczenie, przejrzysta procedura z rzeczywistym dostępem, realistyczne planowanie pracy lub konflikt bez organizacyjnej asymetrii. Porownanie przypadkow: Materiał wskazuje na zróżnicowanie konfiguracji instytucjonalnych między przypadkami, lecz nie ustanawia porównania Polska–Niemcy. Jawne odniesienia do polskich instytucji dotyczą wybranych przypadków i nie mogą reprezentować całego zbioru. Status memo: grounded_candidate. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.2478.",v0.3,,,,,,,
T02,,kalibrowanie odwracalnej trajektorii zawodowej,theoretical,theoretical_category,"Proces biograficznego zarządzania otwartością przyszłości, w którym osoby interpretują edukację i doświadczenia pracy, sekwencjonują zobowiązania, testują możliwości, gromadzą rozpoznawalne kompetencje oraz przekierowują ścieżkę po przerwie, niedopasowaniu lub ograniczeniu.","Włączać sytuacje, gdzie edukacja, praca, przerwa, kwalifikacja, doświadczenie lub plan przyszłości są powiązane w czasową sekwencję oceny, testowania, odroczenia, powrotu, przekwalifikowania albo przejścia do nowej opcji.","Nie włączać samego posiadania wykształcenia, ogólnego zainteresowania nauką, pojedynczej zmiany pracy bez przeorientowania ani prostego braku planu bez działania odraczającego, oceny retrospektywnej lub związku z przyszłą trajektorią.","Wiedziałem, że jak nie wypali z tym programowaniem, nie sprawdzi się, nie spełni się ta wizja, to, to trzeba będzie wracać za granicę [śmiech] i odrabiać to wszystko. Yyy, ale się to udało, skończyłem ten kurs, dwa miesiące szukałem pracy. Znalazłem pracę, właściwie jedną w D., ale yy, myślałem o Warszawie, bo tutaj są dużo wyższe perspektywy, jeżeli chodzi o, jeżeli chodzi o tą branżę i yy, i po prostu dostałem pracę w Warszawie.",PREWORK_25_U0011,PREWORK_25_trans.docx,"B1: doswiadczanie pracy i interpretowanie kariery; B2: podejmowanie indywidualnego i zbiorowego sprawstwa; B4: mobilizowanie wiezi oraz zasobow ekonomicznych, spolecznych i kulturowych",04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Gdy przyszła pozycja zawodowa jest niepewna, osoby częściej utrzymują odwracalność biografii przez etapowe uczenie się, zmianę kolejności pracy i edukacji, testowanie opcji oraz zachowywanie możliwości powrotu; proces ten zwiększa rozeznanie, ale nie gwarantuje stabilnego ani zgodnego z aspiracjami rezultatu. Warunki: Wzorzec występuje przy otwartej, przerwanej lub ocenianej trajektorii oraz wtedy, gdy istnieją przynajmniej częściowo dostępne opcje działania. Jest ograniczany przez koszty, czas, wymogi formalne, brak praktyki i ograniczoną dostępność pracy. Dzialania/interakcje: Osoby porównują zainteresowania z użytecznością studiów, podejmują kursy i praktyki, reorganizują grafik, odkładają decyzje, robią przerwy, wracają do wcześniejszych zajęć, testują kierunki, uczą się na doświadczeniu i przedstawiają kompetencje w formie uznawanej przez rekrutację. Konsekwencje: Skutkami mogą być podtrzymanie opcji edukacyjnych, rozszerzenie rozeznania, przeorientowanie zawodowe, wejście przez etapowe zatrudnienie albo pozostawanie w niedomkniętej trajektorii. Kosztem może być odroczenie stabilizacji i ryzyko utknięcia w sekwencji prób. Warianty: Wariant aktywny obejmuje kumulowanie i uczytelnianie kwalifikacji; defensywny — uzyskanie minimalnego poświadczenia lub zachowanie furtki powrotu; awaryjny — wejście do pracy pod presją czasu. Przypadkami negatywnymi są płynne przejście bez negocjowania sekwencji, edukacja bez odniesienia do przyszłości oraz zmiana stanowiska bez przeorientowania. Porownanie przypadkow: Różnice dotyczą fazy biografii, stopnia dostępności zasobów i rodzaju przejścia, a nie jawnie porównywanych krajów. Pojedyncze doświadczenia zagraniczne nie wystarczają do twierdzenia o różnicy Polska–Niemcy. Status memo: grounded_candidate. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.2769.",v0.3,,,,,,,
T03,,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,theoretical,theoretical_category,"Proces, w którym osoby lub podmioty wykorzystują zmianę miejsca i przekroczenie granic jako sposób poszerzenia dostępu do pracy, dochodu, usług albo korzystniejszych reguł instytucjonalnych, równocześnie bilansując korzyści z kosztami zakorzenienia, jakości pracy, więzi i zależności od nowego miejsca.","Włączać tylko przypadki z jawnym odniesieniem do miejsca, kraju lub doświadczenia migracji, w których mobilność zostaje powiązana z dostępem do pracy, rozwojem, utrzymaniem, leczeniem, podatkami, ubezpieczeniem albo działalnością gospodarczą.","Nie włączać zwykłej przeprowadzki bez związku z dostępem do zasobu, samej informacji o pobycie za granicą ani porównania państw bez decyzji, praktyki lub realnego przepływu aktywności.","Powiedział, że albo jedziemy razem albo siedzimy w Polsce i klepiemy biedę, trudno. Powiedział, że na pewno się wszystko rozwali jeżeli on wyjedzie sam, a miał możliwości, ma gdzie tak naprawdę. Więc trochę dalej jakby czasami jest taki no, mogliśmy być zagranicą, byłoby dużo lepiej aczkolwiek on nie jest do końca związany tak ze swoją rodziną czy swoimi znajomymi.",PREWORK_04_U0078,PREWORK_04_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery; B5: porownywanie doswiadczen i instytucji w Polsce i Niemczech,04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Mobilność staje się realną strategią wtedy, gdy różnica dostępności pracy, dochodu lub usług między miejscami jest rozpoznana i możliwa do wykorzystania; jej rezultat pozostaje warunkowy, ponieważ poprawa dostępu może współistnieć z gorszą jakością pracy, kosztami więzi, odroczeniem powrotu lub zależnością od obcego systemu. Warunki: Wymagane są jawne nierówności przestrzenne albo instytucjonalne oraz możliwość ruchu osoby, pracy, firmy, kapitału lub korzystania z usługi. Proces może być ograniczany przez partnera, rodzinę, zakorzenienie, koszty i niedostępność miejsca powrotu. Dzialania/interakcje: Osoby porównują lokalne i zagraniczne możliwości, planują lub podejmują wyjazd, zostają dłużej, wracają albo odrzucają migrację. Podmioty mogą przenosić działalność, inwestycje lub korzystanie z leczenia tam, gdzie dostęp, koszty lub reguły są oceniane jako korzystniejsze. Konsekwencje: Możliwe są poszerzenie dostępu do pracy, dochodu lub leczenia, zmiana standardów oceny pracy, odsunięcie presji utrzymania oraz krytyka krajowych instytucji. Nie wynika z danych, że mobilność zawsze poprawia pozycję lub że różnice krajowe są jednolite. Warianty: Warianty obejmują migrację zarobkową, przeprowadzkę do większego miasta, pozostanie za granicą, transnarodowe korzystanie z leczenia oraz lokowanie działalności poza krajem. Przypadkiem przeciwnym jest uznanie lokalnej pracy za wystarczająco dostępną i godną, przez co wyjazd nie jest konieczny. Porownanie przypadkow: Porównanie Polska–Niemcy może być stosowane wyłącznie w jednostkach jawnie przywołujących oba konteksty lub doświadczenie migracji. Obecny materiał pokazuje funkcjonalne porównania miejsc, nie uprawnia natomiast do całościowego przeciwstawienia systemów. Status memo: memo_hypothesis. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.3351.",v0.3,,,,,,,
T04,,składanie zasobów w warunkową infrastrukturę utrzymania,theoretical,theoretical_category,"Proces przekształcania dochodów cząstkowych, mieszkania, oszczędności, sieci, wsparcia bliskich, materialnych narzędzi i współpracy w doraźną infrastrukturę umożliwiającą utrzymanie, przejście lub własne przedsięwzięcie. Zasoby jednocześnie buforują ryzyko i mogą tworzyć zależność.","Włączać wtedy, gdy zasób materialny, relacyjny lub instytucjonalny zostaje praktycznie uruchomiony do finansowania okresu przejściowego, ograniczenia kosztów, uzyskania pracy, podtrzymania aktywności albo wytwarzania dochodu.","Nie włączać samego posiadania mieszkania, znajomych, oszczędności lub rodziny bez pokazanej funkcji praktycznej. Nie włączać też wyłącznie emocjonalnego wsparcia, jeżeli nie jest połączone z utrzymaniem, dostępem, opieką, informacją, narzędziem lub możliwością działania.","to jest coś, co, na co nie, nie ma czasu, żeby kontynuować i zająć się tym bardziej profesjonalnie, to znaczy zna/znaleźć, powiedzmy, jakiś projekt, gdzie można by to jakby rozwijać, podpiąć to pod coś innego czy, czy znaleźć, powiedzmy, jakiegoś wydawcę albo instytucję, która byłaby tym zainteresowana ii, ee, i też dużo z takich rzeczy okołoarchitektonicznych bardzo, bardzo fajnie się jakby właśnie wizu/wizualizuje na, na makietach i to też, jakby idąc do tej pracy ee, było dla mnie jakby bardzo istotne, że ja mając jakby te narzędzia, jakby fizyczne narzędzia, ale też umiejętności wyrobione podczas tej pracy zawodowej, będę mógł wykorzystać do realizacji tych swoich rzeczy ee no a jakaś tam frustracja moja wynika z tego, że to po prostu w tym ciągu zleceń, które są jeden/jedno po drugim, jedno po drugim od tych prawie cztery lat nie ma tej przestrzeni, żeby się zająć swoimi rzeczami, to jest mm (.)",PREWORK_11_U0164,PREWORK_11_trans.docx,"B1: doswiadczanie pracy i interpretowanie kariery; B2: podejmowanie indywidualnego i zbiorowego sprawstwa; B4: mobilizowanie wiezi oraz zasobow ekonomicznych, spolecznych i kulturowych",04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Im mniej pojedyncza praca zapewnia trwałe utrzymanie, tym częściej ciągłość codziennego funkcjonowania jest składana z wielu źródeł dochodu i zasobów pozadochodowych; taka infrastruktura ogranicza natychmiastową presję przyjęcia każdej pracy, ale może zwiększać zależność od wielu płatników, własności rodzinnej lub zobowiązań wobec sieci. Warunki: Proces wymaga niedoboru lub ryzyka dotyczącego dochodu, kosztów życia, przejścia zawodowego albo rozpoczęcia działania oraz dostępności zasobu, który można uruchomić. Nie przesądza, że wsparcie zawsze zwiększa autonomię. Dzialania/interakcje: Osoby łączą prace i świadczenia, używają oszczędności, kredytu, mieszkania, wynajmu, barteru i sprzętu; proszą o pomoc, odwzajemniają wsparcie, dzielą zlecenia, korzystają z rekomendacji, uruchamiają kontakty dla projektów oraz organizują współpracę zarobkową. Konsekwencje: Możliwe są utrzymanie płynności, finansowanie edukacji lub przejścia, dostęp do projektów, opóźnienie presji ekonomicznej i rozpoczęcie działalności. Konsekwencjami ambiwalentnymi są rozproszenie pracy, dług, zależność od partnera lub rodziny oraz doraźność przedsięwzięcia. Warianty: Warianty obejmują składanie dochodów, mieszkaniowy bufor, relacyjne zabezpieczenie kryzysu, sieciową infrastrukturę własnej działalności i wspólne wytwarzanie zarobku. Przypadkiem negatywnym jest stabilny pojedynczy dochód wystarczający do utrzymania bez aktywowania dodatkowych zasobów. Porownanie przypadkow: Materiał różnicuje rodzaj i formalność zasobów, ale nie pozwala przeciwstawiać Polski i Niemiec. Odniesienia do kontaktów lub pracy poza krajem pokazują funkcję zasobu w konkretnym przypadku, nie systemową przewagę kraju. Status memo: memo_hypothesis. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.2795.",v0.3,,,,,,,
T05,,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,theoretical,theoretical_category,"Proces, w którym doświadczenia pracy, kosztów życia i dostępu do zasobów są przenoszone na poziom oceny publicznego ładu, redystrybucji i instytucji, a następnie mogą być przekładane na uczestnictwo organizacyjne, pomoc, reprezentację lub wyznaczanie granic autonomii wobec polityki.","Włączać wypowiedzi łączące pracę, podatki, świadczenia, edukację, dostęp do zasobów lub nierówności z odpowiedzialnością państwa, regułami publicznymi, finansowaniem organizacji, zmianą władzy albo formą działania zbiorowego.","Nie włączać indywidualnej krytyki pracodawcy bez odniesienia do ładu publicznego lub działania zbiorowego, ani samego nieuczestnictwa bez wskazania biograficznego, organizacyjnego lub instytucjonalnego warunku.","To, co ja na pewno bym zmieniła -zarobki w Polsce. To jest coś, co jest dla nas tragiczne. I młodzi ludzie, jak ja de fato i czy pewnie też ty, nie mają żadnych szans zrobienia karier zawodowych z godnymi pieniędzmi.",PREWORK_13_U0188,PREWORK_13_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery; B2: podejmowanie indywidualnego i zbiorowego sprawstwa; B3: angazowanie sie obywatelskie i spoleczne,04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Strukturalne interpretowanie niepewności może uruchamiać postulaty regulacji i uczestnictwo zbiorowe, ale nie implikuje automatycznie zaufania do państwa ani trwałej mobilizacji: to samo doświadczenie może prowadzić do solidarności, dystansu, konfliktu o zasługiwanie lub ochrony autonomii organizacji. Warunki: Wzorzec obowiązuje, gdy rozmówca jawnie wiąże własną lub cudzą sytuację z regułami publicznymi albo gdy uczestnictwo zależy od czasu, roli organizacyjnej, finansowania, zmiany instytucjonalnej lub granicy politycznego uwikłania. Dzialania/interakcje: Osoby diagnozują rynek, podatki i świadczenia, formułują postulaty, wchodzą w wolontariat lub organizacje, koordynują pomoc, ograniczają udział przez pracę lub brak zasobów, negocjują finansowanie oraz odmawiają działań uznanych za zagrażające autonomii. Konsekwencje: Możliwe są rozszerzenie działania, praktyczna pomoc, odroczenie uczestnictwa, spór o koszty i uprawnienia, a także ochrona niezależności organizacyjnej kosztem zasobów. Dane nie wskazują jednego modelu zaufania ani jednej orientacji politycznej. Warianty: Warianty obejmują solidarnościowy postulat ochrony, krytykę obciążeń, moralizowanie korzystania ze świadczeń, udział rozwijający się od wolontariatu do koordynacji oraz odmowę politycznego finansowania. Przypadkiem negatywnym jest ogólna opinia o gospodarce bez odniesienia do reguł, odpowiedzialności publicznej lub działania zbiorowego. Porownanie przypadkow: Polska pojawia się w części wypowiedzi jako jawny kontekst instytucjonalny, lecz materiał nie zawiera symetrycznego porównania z Niemcami. Najważniejsze różnice przebiegają między sposobami interpretacji i formami uczestnictwa wewnątrz zbioru. Status memo: grounded_candidate. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.2713.",v0.3,,,,,,,
T06,,wartościujące oswajanie i selekcjonowanie pracy,theoretical,theoretical_category,"Proces, w którym osoby przekładają warunki zatrudnienia, dochód, sens pracy, status i relacje społeczne na ocenę tego, co jest pracą akceptowalną, godną, opłacalną lub zasłużoną; ocena ta może prowadzić do tolerowania układu, selekcji opcji albo moralnego dystansowania się od innych pozycji.","Włączać wypowiedzi zawierające porównawcze wartościowanie co najmniej dwóch dóbr lub pozycji: dochodu, ochrony, autonomii, jakości zadań, czasu, uznania, statusu, zasługiwania albo perspektyw. Wymagane jest przełożenie oceny na interpretację własnej sytuacji, relacji społecznej lub decyzji zawodowej.","Nie włączać czystego opisu płacy, umowy, zawodu lub nierówności bez oceny adekwatności, zasługi, godności, akceptowalności albo bez związku z decyzją czy granicą relacyjną.","A: No bo zatrudnienie nie jest stabilne, ale nie jest mało płatne. Mimo wszystko ja jestem w stanie z tego przyzwoity pieniądz wyciągnąć.",PREWORK_03_U0226,PREWORK_03_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery,04_kodowanie_teoretyczne,openai:gpt-5.6-terra,candidate,VC04_PREWORK_THEORETICAL_SYNTHESIS_V8_INDEXED_EVIDENCE,04_ksiazka_kodowa_example.ipynb,theoretical_synthesis,"Niepewność nie prowadzi automatycznie ani do odrzucenia pracy, ani do jej normalizacji: jest akceptowana, kwestionowana lub omijana zależnie od tego, czy zostaje zrekompensowana dochodem, autonomią, sensem, relacjami i możliwością życia poza pracą oraz jak jest moralnie porównywana z dostępnymi alternatywami. Warunki: Proces występuje, gdy osoba może porównać warunki własnej lub cudzej pracy z kosztami utrzymania, standardem życia, aspiracjami, doświadczeniami wcześniejszymi albo normą sprawiedliwości. Nie zakłada jednolitej hierarchii wartości. Dzialania/interakcje: Rozmówcy ważą płacę wobec kosztów i zobowiązań, porównują statusy i źródła zasobów, ustanawiają granice godnej pracy, tolerują układ jako przejściowy albo znośny, odrzucają niedopasowane opcje i moralnie klasyfikują zasługę, samodzielność oraz korzystanie ze wsparcia. Konsekwencje: Rezultatem mogą być selektywne wybory pracy, czasowa normalizacja niepewności, dystans wobec osób ocenianych jako uprzywilejowane lub niezasługujące, a także wielowymiarowe pojęcie godności pracy. Wartościowanie nie musi prowadzić do działania. Warianty: Wariant kompensacyjny akceptuje słabszą ochronę za wyższy dochód lub autonomię; wariant godnościowy przedkłada sens, uznanie i czas; wariant moralizujący wyznacza granice zasługi; wariant adaptacyjny osłabia presję na zmianę. Przypadkiem przeciwnym jest bezrefleksyjne przyjęcie pracy albo opis nierówności bez wartościującego porównania. Porownanie przypadkow: Zróżnicowanie dotyczy kryteriów wartościowania i nie uzasadnia przypisania wzoru do kraju, klasy, płci lub poziomu edukacji. Materiał nie daje podstaw do prostego porównania Polska–Niemcy. Status memo: grounded_candidate. Naprawa pokrycia: nie dotyczy. Dobor przykladu: char_tfidf_theory_to_focus=0.2332.",v0.3,,,,,,,
S01,T01,Warunkowanie ochrony statusem zatrudnienia,synthetic,synthetic_interpretive_code,"Ochrona socjalna, zdrowotna i proceduralna jest dostępna w zakresie wyznaczonym przez formalny status pracy oraz realną egzekwowalność uprawnień. Braki ochrony przenoszą koszty zabezpieczenia na pracownika.","Włączaj, gdy fragment odnosi umowę, status pracownika, świadczenie lub decyzję instytucji do faktycznego dostępu do ubezpieczenia, urlopu, ochrony zdrowia, dochodu albo innych praw.",Nie włączaj samej czasowości zatrudnienia bez skutku dla ochrony ani indywidualnego ważenia dochodu i składek bez opisu instytucjonalnego zakresu uprawnień.,"I później wychowawczy, w zależności, czy się złapie na to, żeby był płatny, czy nie.",PREWORK_01_U0051,PREWORK_01_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery,04_kodowanie_teoretyczne_synthetic_refinement,openai:gpt-5.6-terra,candidate,VC_SYNTHETIC_INTERPRETIVE_REFINEMENT_V1,refine_synthetic_codebook.py,T_to_S_to_F_refinement,"Przypisane F pokazują, że bezpieczeństwo nie wynika automatycznie z pracy lub obywatelstwa, lecz jest selektywnie przyznawane przez ramy zatrudnienia i instytucjonalne uznanie.",v0.4-synthetic,T01,cluster,,"W odróżnieniu od C02 rdzeniem nie jest niepewność dalszej pracy, lecz zakres ochrony dostępnej podczas pracy lub poza nią.","Przypisane F pokazują, że bezpieczeństwo nie wynika automatycznie z pracy lub obywatelstwa, lecz jest selektywnie przyznawane przez ramy zatrudnienia i instytucjonalne uznanie.",,
S02,T01,Uzależnianie ciągłości pracy od decyzji organizacji,synthetic,synthetic_interpretive_code,"Dalsze zatrudnienie pozostaje zależne od kontraktu, bieżącego popytu oraz nieprzejrzystej lub arbitralnej decyzji organizatora pracy. Ryzyko braku kontynuacji zostaje w ten sposób przeniesione na pracownika.","Włączaj, gdy kolejna praca, zmiana, zlecenie lub umowa zależą od przedłużenia, wezwania, potwierdzenia albo jednostronnej decyzji pracodawcy.",Nie włączaj dłuższej biograficznej sekwencji zmian pracy bez wskazania bieżącego mechanizmu warunkowania ani ochrony socjalnej wynikającej z formy zatrudnienia.,"A: Poza tym niestabilne, no też nie do końca, bo to są umowy zlecenia, więc z definicji powiedzmy, że nie jest to jakoś strasznie przyszłościowe, ale z drugiej strony w tych trzech czasopismach, o których mówię, no to w jednym jestem już piąty rok, w drugim trzeci, a w tym trzecim jestem już też drugi rok, więc jest jakaś ciągłość dla mnie i jakiś konkretny zarobek z tego.",PREWORK_03_U0228,PREWORK_03_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery,04_kodowanie_teoretyczne_synthetic_refinement,openai:gpt-5.6-terra,candidate,VC_SYNTHETIC_INTERPRETIVE_REFINEMENT_V1,refine_synthetic_codebook.py,T_to_S_to_F_refinement,"Wspólnym mechanizmem jest organizowanie zatrudnienia jako odwoływalnego dostępu, którego pracownik nie może samodzielnie stabilizować.",v0.4-synthetic,T01,cluster,,W odróżnieniu od C03 kod obejmuje bezpośredni mechanizm organizacyjnego uzależnienia dalszej pracy; C03 dotyczy biograficznego przechodzenia przez jego skutki.,"Wspólnym mechanizmem jest organizowanie zatrudnienia jako odwoływalnego dostępu, którego pracownik nie może samodzielnie stabilizować.",,
S03,T01,Składanie ciągłości z niestabilnych odcinków,synthetic,synthetic_interpretive_code,"Kariera i utrzymanie są budowane przez łączenie przejściowych prac, przerw, projektów i zewnętrznie przerwanych możliwości zatrudnienia. Ciągłość jest tu efektem składania kolejnych odcinków, a nie trwałości pojedynczej relacji pracy.","Włączaj, gdy fragment przedstawia co najmniej dwa odcinki, przejścia lub równoległe formy pracy i ujawnia ich znaczenie dla odzyskiwania, utraty lub czasowego buforowania dochodu.","Nie włączaj pojedynczej nieprzedłużonej umowy, oczekiwania na decyzję pracodawcy ani samego opisu formalnej ochrony.","I pomyślałem sobie, no super, no mogę mieć taką pracę, która może nie jest zbyt ambitna, ale też jest przyjemna i później przez pół roku nie zarobiłem nic.",PREWORK_07_U0004,PREWORK_07_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery,04_kodowanie_teoretyczne_synthetic_refinement,openai:gpt-5.6-terra,candidate,VC_SYNTHETIC_INTERPRETIVE_REFINEMENT_V1,refine_synthetic_codebook.py,T_to_S_to_F_refinement,"F łączą perspektywę biograficzną: pracownik organizuje życie zawodowe poprzez kolejne, różnie trwałe źródła pracy i dochodu.",v0.4-synthetic,T01,cluster,,"W odróżnieniu od C02 nie chodzi o pojedynczy mechanizm warunkowania zatrudnienia, lecz o sekwencję i kompozycję kolejnych stanów zawodowych.","F łączą perspektywę biograficzną: pracownik organizuje życie zawodowe poprzez kolejne, różnie trwałe źródła pracy i dochodu.",,
S04,T01,Przerzucanie kosztów organizacji czasu i pracy,synthetic,synthetic_interpretive_code,"Niedobory, normy i sposób układania czasu pracy są kompensowane wysiłkiem pracowników oraz kosztami ponoszonymi w życiu poza pracą. Odpowiedzią staje się regeneracja albo próba obrony granic czasu.","Włączaj, gdy organizacja zadań, personelu, grafiku lub czasu powoduje dodatkowy wysiłek, przeciążenie, ograniczenie odpoczynku albo konieczność ochrony czasu pozazawodowego.","Nie włączaj samej izolacji społecznej, konfliktów ze współpracownikami ani trudności finansowych niewynikających z organizacji pracy i czasu.","Jednego dnia obrabiam intensywną rzecz, a następnie robię coś źle i muszę stąd uciekać, ukrywać się, cokolwiek.",PREWORK_30_U0067,PREWORK_30_trans.docx,B1: doswiadczanie pracy i interpretowanie kariery,04_kodowanie_teoretyczne_synthetic_refinement,openai:gpt-5.6-terra,candidate,VC_SYNTHETIC_INTERPRETIVE_REFINEMENT_V1,refine_synthetic_codebook.py,T_to_S_to_F_refinement,"Przypisane F są przypadkami przeniesienia kosztów wadliwej lub intensywnej organizacji na ciało, czas i prywatne życie pracownika.",v0.4-synthetic,T01,cluster,,"W odróżnieniu od C05 rdzeniem nie jest jakość relacji między pracownikami, ale organizacyjny rozkład zadań, obciążeń i czasu.","Przypisane F są przypadkami przeniesienia kosztów wadliwej lub intensywnej organizacji na ciało, czas i prywatne życie pracownika.",,
